"Otu00023","Otu00179","Otu01265","Otu01714","Otu01782","Otu01841","Otu01854","Otu01856","Otu01986","Otu02116","Otu02184","Otu02354","Otu02463","Otu02498","Otu02626","Otu02806"
47,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
